merchant,cc_num,trans_date_trans_time,amt_cop,is_fraud,trans_counter,total_amt,fraud_counter,fraud_amt,dist_card
"fraud_Bernier, Streich and Jewess",342952484382519,2020-08-20 05:11:01,8964.79172622,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",342952484382519,2020-08-20 05:11:01,8964.79172622,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4587657402165341815,2020-12-29 09:23:42,2932.814304,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4191109180926792,2020-09-13 06:26:06,9431.267427,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",6523180720198790,2020-12-06 07:50:27,281467.39397868,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4464457352619,2020-08-26 11:36:19,88274.77871706,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30197398657930,2020-11-03 06:50:09,217069.85555813997,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4990494243023,2020-09-23 00:32:02,261495.72458568,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4908846471916297,2020-08-26 07:51:09,18890.9028495,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30290551782700,2020-07-24 03:20:26,609516.20866882,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3553629419254918,2020-08-29 08:50:37,130792.24378037998,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3553629419254918,2020-08-29 08:50:37,130792.24378037998,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3576021480694169,2020-09-03 02:35:38,312774.11675816,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4836998673805450,2020-07-24 05:02:58,77521.98685566,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4292902571056973207,2020-08-05 09:09:29,17328.637817900002,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3543299015720986,2020-12-05 09:53:00,204465.51309678,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",6538441737335434,2020-08-10 02:08:55,57758.041517260004,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30131826429364,2020-07-13 03:55:00,47631.11563628,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",503874407318,2020-10-22 07:47:48,203243.32300004,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",503874407318,2020-12-23 01:45:38,175368.97579852003,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",376445266762684,2020-10-03 11:53:13,7960.495967999999,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4873783502705038,2020-07-20 11:35:17,348172.7697513,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4873783502705038,2020-07-01 07:21:22,166031.14488714,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",2720433095629877,2020-07-13 04:25:41,255187.08350594,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",36722699017270,2020-07-21 00:29:01,330986.49698492,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3521417320836166,2020-10-06 10:41:52,54883.623910660004,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4181833256558613886,2020-11-08 10:51:42,19073.84979766,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4890424426862856940,2020-07-04 08:06:49,37069.290305940005,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",2288813824604479,2020-12-13 10:15:34,243343.69618181998,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4777065439639721,2020-12-13 07:40:17,233224.71702269997,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4777065439639721,2020-10-06 09:47:24,241745.96263037997,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",2712209726293386,2020-07-28 03:57:00,56669.99655032001,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4179719215697782,2020-10-25 11:38:11,33389.52731088,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",375082648741747,2020-11-01 03:09:57,252353.13815244,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",561942763351,2020-08-02 05:23:51,13439.883406500001,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30328384440870,2020-12-07 03:16:15,30162.53157472,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30175986190993,2020-09-27 09:30:23,153394.41374088,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3518234918950662,2020-11-03 09:31:23,259764.84657162,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3587960728692500,2020-10-12 10:38:25,8051.02507644,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",560881134780,2020-08-21 08:19:17,44412.3520321,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4586810168620942,2020-09-01 07:57:08,31200.18574062,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4518350514020532,2020-08-29 08:47:46,284796.00554418,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4653879239169997,2020-08-02 03:45:19,32442.83213318,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",30501624614310,2020-12-09 11:04:21,141081.818658,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",375974680629816,2020-07-07 00:52:24,157243.61035422,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4099707841315751,2020-12-28 04:30:31,53245.429646640005,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",3554849923339851,2020-08-24 10:04:18,414833.76403638,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",180036456789979,2020-06-29 07:00:17,342980.13570912,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4229733778084049,2020-11-03 11:22:52,2978.6395275,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",36192615525683,2020-07-09 05:47:44,60967.169443880004,1,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",5154903938030655,2020-09-15 02:05:12,37703.1644684,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",5104807169438134,2020-10-09 07:04:39,329703.93499712006,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",374821819075109,2020-07-11 03:09:11,467750.35695066,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4209696857872688515,2020-12-14 02:10:30,117699.70495608,0,55,8144466.39521402,36,4127535.27183664,50
"fraud_Bernier, Streich and Jewess",4226219726886852999,2020-12-13 03:19:12,15838.070103,0,55,8144466.39521402,36,4127535.27183664,50
fraud_Schumm PLC,342952484382519,2020-07-21 19:36:23,11887.19857912,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,6538891242532018,2020-10-10 16:06:47,433163.3183904,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4560004149983868183,2020-12-28 19:42:33,161016.03679512,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,3576431665303017,2020-08-15 12:31:09,298243.5962688,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,180048185037117,2020-09-19 13:40:06,499429.63804931997,1,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4169388510116,2020-11-01 12:08:24,5739.0637050000005,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,4169388510116,2020-12-28 12:59:05,3495.809907,0,74,8443930.98913376,39,3959841.11265144,72
fraud_Schumm PLC,180042946491150,2020-07-26 19:36:31,4761.458937,1,74,8443930.98913376,39,3959841.11265144,72
